id,archiveIdentifier,archiveFile,title,artist,album,quadrant,valence,energy,instrumentalness,speechiness,danceability,durationMs,analysisConfidence,categorySource,audioUrl,downloadUrl,externalUrl,licenseUrl,sourceSearch
archive-WM068-1-WM068-01-mp3,WM068,WM068-01.mp3,Il piccolo principe ha sparato alla volpe*,3Sacchetti,3Sacchetti - Bora! Bora! Mr. Motto [WM068],tense,0.3592,0.6824,0.9,0.04,0.5287,210130,0.64,internet_archive_metadata_query,https://archive.org/download/WM068/WM068-01.mp3,https://archive.org/download/WM068/WM068-01.mp3,https://archive.org/details/WM068,http://creativecommons.org/licenses/by-nc-sa/3.0/,tense-dark-instrumental
archive-WM068-2-WM068-02-mp3,WM068,WM068-02.mp3,Bobo-yeah. matteo e un eco-mostro,3Sacchetti,3Sacchetti - Bora! Bora! Mr. Motto [WM068],tense,0.3592,0.6824,0.9,0.04,0.5287,152060,0.64,internet_archive_metadata_query,https://archive.org/download/WM068/WM068-02.mp3,https://archive.org/download/WM068/WM068-02.mp3,https://archive.org/details/WM068,http://creativecommons.org/licenses/by-nc-sa/3.0/,tense-dark-instrumental
archive-mt021-1-01_-_Wanderer-mp3,mt021,01_-_Wanderer.mp3,Wanderer,Doc & Lena Selyanina,Doc & Lena Selyanina - Vienna Blue [mt021],sad_low,0.372,0.2744,0.9,0.04,0.2536,498260,0.7,internet_archive_metadata_query,https://archive.org/download/mt021/01_-_Wanderer.mp3,https://archive.org/download/mt021/01_-_Wanderer.mp3,https://archive.org/details/mt021,http://creativecommons.org/licenses/by/3.0/,sad-melancholic-instrumental
archive-mt021-2-02_-_Doppelganger-mp3,mt021,02_-_Doppelganger.mp3,Doppelgänger,Doc & Lena Selyanina,Doc & Lena Selyanina - Vienna Blue [mt021],sad_low,0.372,0.2744,0.9,0.04,0.2536,559310,0.7,internet_archive_metadata_query,https://archive.org/download/mt021/02_-_Doppelganger.mp3,https://archive.org/download/mt021/02_-_Doppelganger.mp3,https://archive.org/details/mt021,http://creativecommons.org/licenses/by/3.0/,sad-melancholic-instrumental
archive-s27-058AlteredcarbonKendallWa-Hilander-1-1-01TintedSoul-mp3,s27-058AlteredcarbonKendallWa-Hilander,1-01TintedSoul.mp3,101 - Tinted Soul,Altered:Carbon & Kendall WA,[S27-058] Altered:Carbon & Kendall WA - Hilander,happy,0.7048,0.7368,0.9,0.04,0.6279,205060,0.7,internet_archive_metadata_query,https://archive.org/download/s27-058AlteredcarbonKendallWa-Hilander/1-01TintedSoul.mp3,https://archive.org/download/s27-058AlteredcarbonKendallWa-Hilander/1-01TintedSoul.mp3,https://archive.org/details/s27-058AlteredcarbonKendallWa-Hilander,http://creativecommons.org/licenses/by-nc-nd/3.0/,happy-upbeat-instrumental
archive-s27-058AlteredcarbonKendallWa-Hilander-2-1-02GoingsOn-mp3,s27-058AlteredcarbonKendallWa-Hilander,1-02GoingsOn.mp3,102 - Goings On,Altered:Carbon & Kendall WA,[S27-058] Altered:Carbon & Kendall WA - Hilander,happy,0.7048,0.7368,0.9,0.04,0.6279,239520,0.7,internet_archive_metadata_query,https://archive.org/download/s27-058AlteredcarbonKendallWa-Hilander/1-02GoingsOn.mp3,https://archive.org/download/s27-058AlteredcarbonKendallWa-Hilander/1-02GoingsOn.mp3,https://archive.org/details/s27-058AlteredcarbonKendallWa-Hilander,http://creativecommons.org/licenses/by-nc-nd/3.0/,happy-upbeat-instrumental
archive-ser013-1-ser013_01_nest_-_lodge-mp3,ser013,ser013_01_nest_-_lodge.mp3,lodge,nest,Nest - Nest EP,relaxed,0.6408,0.3448,0.9,0.04,0.3498,234690,0.82,internet_archive_metadata_query,https://archive.org/download/ser013/ser013_01_nest_-_lodge.mp3,https://archive.org/download/ser013/ser013_01_nest_-_lodge.mp3,https://archive.org/details/ser013,http://creativecommons.org/licenses/by-nc-nd/3.0/,relaxed-calm-instrumental
archive-ser013-2-ser013_02_nest_-_kyoto-mp3,ser013,ser013_02_nest_-_kyoto.mp3,kyoto,nest,Nest - Nest EP,relaxed,0.6408,0.3448,0.9,0.04,0.3498,326540,0.82,internet_archive_metadata_query,https://archive.org/download/ser013/ser013_02_nest_-_kyoto.mp3,https://archive.org/download/ser013/ser013_02_nest_-_kyoto.mp3,https://archive.org/details/ser013,http://creativecommons.org/licenses/by-nc-nd/3.0/,relaxed-calm-instrumental
archive-WM061-1-WM061-01-mp3,WM061,WM061-01.mp3,Die Fenster des Detlev Sierks 1,Hanns Ahring - Jean Quist - Maren Schram,Hanns Ahring/Jean Quist/Maren Schram - Die Fenster des Detlev Sierks [WM061],tense,0.424,0.6824,0.9,0.04,0.5404,301530,0.76,internet_archive_metadata_query,https://archive.org/download/WM061/WM061-01.mp3,https://archive.org/download/WM061/WM061-01.mp3,https://archive.org/details/WM061,http://creativecommons.org/licenses/by-nc-sa/3.0/,tense-dark-instrumental
archive-WM061-2-WM061-02-mp3,WM061,WM061-02.mp3,Die Fenster des Detlev Sierks 2,Hanns Ahring - Jean Quist - Maren Schram,Hanns Ahring/Jean Quist/Maren Schram - Die Fenster des Detlev Sierks [WM061],tense,0.424,0.6824,0.9,0.04,0.5404,286560,0.76,internet_archive_metadata_query,https://archive.org/download/WM061/WM061-02.mp3,https://archive.org/download/WM061/WM061-02.mp3,https://archive.org/details/WM061,http://creativecommons.org/licenses/by-nc-sa/3.0/,tense-dark-instrumental
